name,_delete,nameZh,nameJa,aliases,avatar,birth,bloodType,height,weight,threeSize,cup,retired,retiredAt,debut,agency,x,instagram,tiktok,works
有坂深雪,,有坂深雪,有坂深雪,,,1998-01-07,A,161,,85 - 55 - 84,D,TRUE,2019,2017,ダスッ!,arisaka_miyuki,arisaka_miyuki_official17,,
有坂真宵,,有坂真宵,有坂真宵,,,2000|愛称=|別名=|画像コメント=|画像ファイル=|その他=}}-1|生年=2000|愛称=|別名=|画像コメント=|画像ファイル=|その他=}}-1|時点=2020年 |毛髪の色=|瞳の色=|血液型=|出身地=・山口県|没日=|没月=|没年=|ふりがな=ありさか まよい|生月=1|生年=2000|愛称=|別名=|画像コメント=|画像ファイル=|その他=}},,152,1kg,89 - 53 - 88,G,FALSE,,2020-05-16,FALENO,arisaka_cmore,,,
朝日なな,,,朝日なな,,,1985-01-20,A,158,,87 - 59 - 88,E,FALSE,,2007,,,,,
朝香美穂,,,朝香美穂,,,1981-12-16,A,160,,86 - 59 - 87,E,TRUE,2004,2002-10-20,,,,,
本庄鈴,,本庄鈴,本庄鈴,,https://commons.wikimedia.org/wiki/Special:FilePath/Suzu_Honjo's_refreshing_smile2024.jpg?width=200,1997-01-12,,163,,85 - 59 - 88,C,FALSE,,2018-02-28,SOD,honjosuzu,honjo_suzu,,
朱莉きょうこ,,,朱莉きょうこ,,,1999-12-07,,169,,101 - 59 - 93,I,TRUE,,2020,エスワン,AkariKyoko,hapistaglam54,,
杏子ゆう,,,杏子ゆう,,https://www.minnano-av.com/p_actress_125_125/004/95287.jpg?new,1989-02-05,B,160,,85 - 59 - 88,,FALSE,,2011-09-11,,,,,
杏野小夜,,,杏野小夜,,https://www.minnano-av.com/p_actress_125_125/004/905212.jpg?new,1979-10-25,A,162,,83 - 58 - 83,,TRUE,,1999,,,,,
松島かえで,,松島楓,松島かえで,,,1982-11-07,O,160,,85 - 58 - 84,D,TRUE,2007,2002-10-07,,KaedeMatsusima,,,
松本菜奈実,,松本菜奈實,松本菜奈実,ななみん,https://commons.wikimedia.org/wiki/Special:FilePath/Trend_Girls_Photo_Session_(September_27%2C_2025)IMG_1483.jpg?width=200,1994-08-23,B,165,,100 - 62 - 100,I,FALSE,,2017-07-01,Fitch,7mi_m,773nanaminu,7mim_official,
松永さな,,今永紗奈,松永さな,松永、さな,,1996-02-09,O,164,,89 - 58 - 88,G,TRUE,2020,2016,溜池ゴロー,,,,
枢木あおい,,,枢木あおい,くろき葵、山内愛,https://commons.wikimedia.org/wiki/Special:FilePath/Fresh_Summer_Fes!!_Gold_Division_IMG_0074.jpg?width=200,1998-03-20,B,154,,84 - 59 - 93,D,TRUE,2023-04-16,2017-05-14,S-Cute,Aoi_krrg,aoi_krrg,aoi_krrg,
架乃ゆら,,架乃由羅,架乃ゆら,,https://commons.wikimedia.org/wiki/Special:FilePath/Yura_Kano's_stage_greeting_IMG_4608.jpg?width=200,1998-12-28,O,156,,86.5 - 55 - 86,E-65,TRUE,2024,2017,S1,kano_yura,kano__yura,kano_yura,
柏木のぞみ,,,柏木のぞみ,,,1993-02-10,A,159,,88 - 60 - 86,E,TRUE,2012,2011,,nozomi_kasiwagi,,,
